Longitude,Latitude,Price,Beds,Baths,Parking,Type
148.110385,-32.255249,10000,0,0,0,3
145.607556,-41.100305,10000,0,0,0,3
141.789606,-37.980868,10000,0,0,0,3
138.602387,-35.004063,10335,2,0,1,2
144.918044,-37.832179,10643,2,0,1,2
151.184665,-33.903521,11000,2,2,0,2
146.958381,-42.304288,11000,0,0,0,3
146.1959751,-23.86725647,11000,0,0,0,3
146.0994297,-22.77109111,11000,0,0,0,3
145.9748232,-23.25844934,11000,0,0,0,3
150.957425,-33.813104,11144,3,2,1,3
145.995174,-38.460127,11500,0,0,0,3
145.995174,-38.460127,11500,0,0,0,3
145.995174,-38.460127,11500,0,0,0,3
138.49958,-34.779057,12000,0,0,0,3
150.89547,-33.725619,12143,3,0,2,0
144.705831,-37.837165,12200,4,2,2,0
153.541853,-28.392183,12513,4,2,2,0
146.83066,-41.117415,12520,4,2,3,0
148.569564,-21.754127,13051,5,6,6,0
151.043518,-33.775596,13288,3,3,2,3
146.791529,-19.787858,14000,0,0,0,3
146.175271,-38.290637,14000,0,0,0,3
153.134987,-28.111411,14230,0,0,0,3
153.134987,-28.111411,14250,0,0,0,3
145.995174,-38.460127,14500,0,0,0,3
148.045134,-22.018392,14510,8,8,8,3
138.49958,-34.779057,15000,0,0,0,3
138.49958,-34.779057,15000,0,0,0,3
138.49958,-34.779057,15000,0,0,0,3
145.842063,-18.020178,15075,0,0,0,3
151.94182,-27.627661,15180,0,0,0,3
145.065658,-37.664858,15311.5,3,3,6,0
145.017732,-37.84411,15615,2,0,1,2
145.955341,-38.597018,16000,0,0,0,3
138.49958,-34.779057,17000,0,0,0,3
138.49958,-34.779057,17000,0,0,0,3
138.49958,-34.779057,17000,0,0,0,3
145.128118,-37.880748,17172,4,3,2,3
138.49958,-34.779057,17900,0,0,0,3
151.206211,-33.894912,18195,0,0,1,2
147.828594,-42.818606,18480,0,0,0,3
137.1528342,-32.74143564,18500,0,0,0,3
147.64961,-35.405064,20000,0,0,0,3
143.274156,-26.248504,20000,0,0,0,3
143.274156,-26.248504,20000,0,0,0,3
143.274156,-26.248504,20000,0,0,0,3
136.318517,-33.100172,20000,0,0,0,3
117.144456,-30.214559,20000,0,0,0,3
116.826594,-30.429334,20000,0,0,0,3
116.826594,-30.429334,20000,0,0,0,3
116.826594,-30.429334,20000,0,0,0,3
116.826594,-30.429334,20000,0,0,0,3
151.193055,-33.871222,21000,0,0,0,3
146.085138,-32.844998,21000,0,0,0,3
150.125945,-35.671272,21487,3,2,2,0
146.085138,-32.844998,22000,0,0,0,3
146.958381,-42.304288,22000,0,0,0,3
146.1959751,-23.86725647,22000,0,0,0,3
146.0994297,-22.77109111,22000,0,0,0,3
145.9748232,-23.25844934,22000,0,0,0,3
138.49958,-34.779057,22000,0,0,0,3
120.898892,-30.949795,22000,0,0,0,3
123.744186,-32.39502,22500,0,0,0,3
153.0704775,-26.49491916,22517,3,2,3,0
145.25835,-37.972887,22723.5,0,0,0,3
115.870058,-32.008509,22899,2,2,1,0
138.49958,-34.779057,22900,0,0,0,3
138.49958,-34.779057,23000,0,0,0,3
138.49958,-34.779057,23000,0,0,0,3
117.065276,-33.885153,23000,0,0,0,3
145.367079,-38.419488,23500,0,0,0,3
137.432341,-21.017327,24900,0,0,0,3
138.49958,-34.779057,24990,0,0,0,3
150.49786,-29.871532,25000,0,0,1,2
150.603274,-31.735738,25000,0,0,0,3
150.1491418,-31.66545698,25000,0,0,0,3
145.251371,-30.205908,25000,0,0,0,3
145.251371,-30.205908,25000,0,0,0,3
146.085138,-32.844998,25000,0,0,10,3
146.085138,-32.844998,25000,0,0,0,3
142.203381,-30.170441,25000,0,0,0,3
146.958381,-42.304288,25000,0,0,0,3
146.1959751,-23.86725647,25000,0,0,0,3
146.0994297,-22.77109111,25000,0,0,0,3
145.9748232,-23.25844934,25000,0,0,0,3
144.218437,-20.79424,25000,0,0,0,3
144.218437,-20.79424,25000,0,0,0,3
138.49958,-34.779057,25000,0,0,0,3
136.318517,-33.100172,25000,0,0,0,3
144.991264,-37.840679,25000,0,0,1,3
147.63201,-37.826032,25000,0,0,0,3
147.63201,-37.826032,25000,0,0,0,3
117.651128,-33.862021,25000,0,0,0,3
120.898892,-30.949795,25000,0,0,0,3
115.485567,-29.139369,25000,0,0,0,3
151.917285,-23.446826,26000,0,0,1,2
138.985832,-33.13467,26000,0,0,0,3
115.728286,-32.557981,26900,0,0,0,3
115.920395,-31.964503,27000,3,0,0,0
151.193055,-33.871222,27000,0,0,1,2
146.667476,-33.814887,27000,0,0,0,3
145.958063,-26.208628,27000,0,0,0,3
115.740693,-32.278396,27225,0,0,0,3
146.615174,-31.927892,28000,0,0,0,3
145.807453,-42.291313,28000,0,0,0,3
148.231917,-23.010007,28600,4,0,2,0
138.49958,-34.779057,28800,0,0,0,3
116.204886,-33.35257,29000,0,0,0,3
146.94474,-29.8313,29000,0,0,0,3
118.112783,-33.869017,29000,0,0,0,3
118.112783,-33.869017,29000,0,0,0,3
115.485567,-29.139369,29000,0,0,0,3
138.49958,-34.779057,29950,0,0,0,3
135.088086,-28.500406,30000,0,0,0,0
121.541783,-30.871011,30000,0,0,0,0
150.356874,-33.310653,30000,0,0,0,3
150.356874,-33.310653,30000,0,0,0,3
134.463153,-18.251528,30000,0,0,0,3
149.206489,-26.40373,30000,0,0,0,3
145.141177,-24.784155,30000,0,0,0,3
145.141177,-24.784155,30000,0,0,0,3
145.141177,-24.784155,30000,0,0,0,3
148.891333,-23.632816,30000,0,0,0,3
146.958381,-42.304288,30000,0,0,0,3
146.1959751,-23.86725647,30000,0,0,0,3
146.0994297,-22.77109111,30000,0,0,0,3
145.9748232,-23.25844934,30000,0,0,0,3
144.218437,-20.79424,30000,0,0,0,3
145.201632,-41.784391,30000,0,0,0,3
142.446015,-36.092132,30000,0,0,0,3
143.637617,-35.431026,30000,0,0,0,3
118.448501,-30.748419,30000,0,0,0,3
116.702611,-29.340545,30000,0,0,0,3
143.810786,-36.405771,30500,0,0,0,3
151.193055,-33.871222,31000,0,0,1,3
146.840497,-23.642723,32000,0,0,0,3
140.919727,-36.343395,32000,0,0,0,3
146.8205995,-23.98215541,32000,0,0,0,3
146.3806504,-23.35610788,32000,0,0,0,3
147.0596895,-23.84615355,32000,0,0,0,3
138.243785,-34.093038,32000,0,0,0,3
146.6182351,-23.13846998,32000,0,0,0,3
146.5677472,-24.07865807,32000,0,0,0,3
145.529693,-42.093728,32000,0,0,0,3
117.738912,-33.647362,32000,0,0,0,3
